longitude,latitude,LC,city,dataset,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NDBI,elevation,slope,aspect,texture_contrast,texture_entropy
-75.54827047868756,6.247827716815478,0,Medellin,training,0.09325,0.1134,0.1301,0.16870001,0.22245,0.2082,0.13255621,0.07748918692693386,0.07221740400873439,0.13847119,1638,15.539455,249.55592,85507.8511904762,4.353741458929681
-75.55321121275021,6.244773444849471,0,Medellin,training,0.0565,0.0786,0.1008,0.1596,0.218,0.1956,0.23195678,0.11909480763263156,0.11875906404690212,0.13614102,1539,11.632473,251.6671,101723.17857142858,4.353741458929681
-75.55581632707415,6.244054792622176,0,Medellin,training,0.0698,0.0939,0.1228,0.1594,0.2326,0.2301,0.12888303,0.06544128365733994,0.0701866551414764,0.2095684,1523,7.3788605,-0.0,56204.74503968252,4.34961558285492
-75.55330104427863,6.256002385900966,0,Medellin,training,0.098,0.1104,0.1366,0.1568,0.21,0.2,0.068847984,0.040679875391858515,0.038190066357120425,0.14503816,1620,16.350864,289.3329,150960.41369047615,4.353741458929681
-75.55752312611398,6.2541159238043145,0,Medellin,training,0.1158,0.1386,0.1532,0.1942,0.2541,0.2418,0.0914561,0.06353931491209601,0.05605380595162497,0.123247236,1540,11.078282,204.57304,60129.76686507937,4.353741458929681
-75.55905026209699,6.252858282406547,0,Medellin,training,0.1012,0.1108,0.1426,0.1678,0.1872,0.1668,0.08118555,0.049424719308390805,0.0466436228224083,0.054647904,1516,7.2232223,219.97379,437031.5912698412,4.353741458929681
-75.56120621877888,6.261392277605682,0,Medellin,training,0.1212,0.139,0.1466,0.1814,0.2273,0.2098,0.10683015,0.07932848137084178,0.06515548625967398,0.09042934,1509,6.227052,296.42816,26367.507936507933,4.353741458929681
-75.55563666401733,6.265614359441044,0,Medellin,training,0.1436,0.1722,0.1766,0.2438,0.2526,0.2293,0.1494578,0.1415929166264377,0.10289980595921333,0.041763358,1558,11.094354,274.73532,107605.68353174605,4.353741458929681
-75.55949941973904,6.27001610433323,0,Medellin,training,0.119,0.1416,0.164,0.1802,0.2586,0.2321,0.13688041,0.0786075241609044,0.07507660936749737,0.060058303,1492,8.2776165,296.4278,144804.23015873012,4.353741458929681
-75.55159424523879,6.2725313871287645,0,Medellin,training,0.1152,0.1548,0.1546,0.1786,0.2663,0.2579,0.08758662,0.0583592087902315,0.051015402739881255,0.1857572,1626,12.843538,270.0,197131.16964285716,4.34961558285492
-75.54701283728978,6.2667821693103996,0,Medellin,training,0.1124,0.1238,0.1358,0.1678,0.2233,0.2159,0.17117865,0.0885699409970944,0.08329954515317634,0.1394422,1704,4.655062,270.0,94291.38988095243,4.34961558285492
-75.5433297446249,6.268488968350227,0,Medellin,training,0.0982,0.1131,0.1366,0.1762,0.2483,0.23315,0.1312921,0.07997052509692477,0.07429468691472368,0.1662844,1796,17.160927,251.6679,139905.53670634917,4.353741458929681
-75.55069592995467,6.294989269231753,0,Medellin,training,0.1256,0.1284,0.1504,0.177,0.262,0.2507,0.11205074,0.06417501099405686,0.06085736467167788,0.16153027,1629,11.05803,270.0,81603.66765873016,4.34961558285492
-75.55833160986968,6.292024828794158,0,Medellin,training,0.1772,0.1968,0.2092,0.231,0.2425,0.2307,0.039531495,0.03724824472312863,0.026709176959954763,0.024287209,1497,8.697433,327.83884,133234.11011904763,4.34961558285492
-75.55752312611398,6.287892578487209,0,Medellin,training,0.1456,0.14,0.1794,0.1976,0.2565,0.2407,0.091645576,0.08846530428880284,0.06067039442108514,0.13636363,1530,2.7970884,270.0,87673.23214285713,4.344802060767698
-75.54665351117613,6.28843156765768,0,Medellin,training,0.0659,0.0957,0.0869,0.192,0.2442,0.2068,0.4370195,0.2507926249531955,0.24336051002642828,0.045488436,1737,9.427633,258.75638,201889.20039682538,4.287727441733496
-75.59938461835395,6.231298715587679,0,Medellin,training,0.0443,0.0643,0.0634,0.1938,0.1503,0.1183,0.49881423,0.25845669983690983,0.2513944310620936,-0.12641674,1523,4.1602726,116.42948,79929.65178571428,4.3317367865309535
